age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
84,Private,331827,Assoc-acdm,12,Never-married,Craft-repair,Husband,Black,Male,12665,58,92,United-States,>50K
49,Local-gov,317475,11th,7,Married-civ-spouse,Tech-support,Husband,White,Female,4393,22,58,United-States,>50K
30,Self-emp-not-inc,258719,HS-grad,9,Divorced,Craft-repair,Husband,White,Male,99,70,18,United-States,<=50K
37,Private,306770,10th,6,Never-married,Prof-specialty,Not-in-family,White,Female,1656,166,57,United-States,>50K
64,State-gov,451719,HS-grad,9,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,2087,6,83,Canada,>50K
36,Private,168621,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,470,18,38,United-States,>50K
24,Private,22342,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Male,313,83,32,United-States,<=50K
23,Private,308561,Doctorate,16,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,4694,15,86,Germany,>50K
83,Private,217586,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Female,6935,12,66,United-States,>50K
33,Private,193321,HS-grad,9,Never-married,Machine-op-inspct,Husband,White,Male,9630,87,77,Puerto-Rico,>50K
49,Private,324808,Some-college,10,Never-married,Tech-support,Husband,Other,Female,3119,217,87,United-States,>50K
64,Federal-gov,248788,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,2178,40,25,United-States,>50K
75,Private,280977,HS-grad,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,848,16,92,United-States,<=50K
38,Private,332802,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Other,Male,376,25,58,Philippines,<=50K
46,Federal-gov,240099,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Wife,White,Female,164,9,75,United-States,<=50K
54,Never-worked,432689,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Male,2363,71,33,Canada,>50K
67,State-gov,403953,10th,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,3071,74,88,United-States,>50K
70,Local-gov,367109,Some-college,10,Divorced,Prof-specialty,Husband,White,Female,3502,104,66,India,>50K
24,Self-emp-not-inc,449863,10th,6,Never-married,Adm-clerical,Husband,White,Female,4901,1,30,United-States,>50K
43,Private,336198,Bachelors,13,Never-married,Sales,Husband,Asian-Pac-Islander,Male,4239,41,81,United-States,>50K
43,Private,11299,Bachelors,13,Never-married,Craft-repair,Husband,White,Male,16519,12,34,Germany,>50K
37,Private,466497,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,559,20,86,Canada,<=50K
46,Private,259240,Prof-school,15,Widowed,Craft-repair,Own-child,White,Female,2881,76,69,United-States,>50K
44,Private,338019,Some-college,10,Never-married,Farming-fishing,Wife,Black,Male,1765,10,48,United-States,<=50K
80,Self-emp-not-inc,173992,HS-grad,9,Never-married,Adm-clerical,Husband,White,Female,605,50,40,United-States,>50K
85,Private,458052,HS-grad,9,Never-married,Craft-repair,Husband,White,Female,8024,53,51,United-States,>50K
77,Private,183453,Bachelors,13,Separated,Machine-op-inspct,Wife,White,Female,4563,154,80,United-States,>50K
64,Private,386430,Some-college,10,Divorced,Adm-clerical,Husband,White,Male,275,74,13,United-States,<=50K
35,Self-emp-not-inc,488187,Masters,14,Married-civ-spouse,Farming-fishing,Wife,White,Female,53,81,90,United-States,<=50K
20,Private,370874,Doctorate,16,Never-married,Adm-clerical,Husband,White,Female,2331,37,31,United-States,>50K
51,State-gov,328442,HS-grad,9,Never-married,Farming-fishing,Husband,White,Female,1853,10,39,United-States,>50K
80,Private,427725,Masters,14,Never-married,Adm-clerical,Husband,White,Male,5491,27,63,United-States,>50K
65,Private,267510,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Male,533,39,48,United-States,<=50K
33,Private,131035,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,176,56,87,United-States,<=50K
60,State-gov,183167,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Female,600,46,48,United-States,>50K
46,Private,454740,Some-college,10,Separated,Craft-repair,Husband,Other,Female,38,25,61,United-States,<=50K
62,Self-emp-not-inc,381969,Masters,14,Divorced,Tech-support,Husband,White,Female,73,15,12,United-States,<=50K
22,Private,125637,Some-college,10,Divorced,Other-service,Husband,Amer-Indian-Eskimo,Male,4926,9,78,India,>50K
53,Private,271046,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,867,59,56,United-States,<=50K
40,Federal-gov,470125,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1058,51,18,Canada,<=50K
62,Local-gov,344762,Some-college,10,Never-married,Prof-specialty,Husband,White,Male,37,58,27,United-States,<=50K
69,Self-emp-not-inc,35532,Some-college,10,Never-married,Craft-repair,Wife,Other,Male,630,23,28,United-States,<=50K
76,State-gov,118197,Some-college,10,Never-married,Adm-clerical,Wife,White,Female,3266,15,82,United-States,>50K
79,State-gov,140860,Assoc-voc,11,Divorced,Craft-repair,Husband,White,Female,1911,71,80,United-States,>50K
48,Self-emp-not-inc,70285,Some-college,10,Never-married,Exec-managerial,Husband,Other,Female,2803,74,52,United-States,>50K
49,State-gov,291010,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,1185,30,16,United-States,<=50K
83,Self-emp-not-inc,148665,Masters,14,Never-married,Handlers-cleaners,Own-child,White,Male,741,47,77,United-States,<=50K
34,Self-emp-not-inc,281639,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1318,23,58,United-States,>50K
41,Private,256130,HS-grad,9,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,780,60,93,United-States,<=50K
70,Local-gov,279981,HS-grad,9,Never-married,Farming-fishing,Unmarried,White,Male,3652,90,9,United-States,>50K
74,Private,217780,HS-grad,9,Separated,Exec-managerial,Husband,White,Female,706,58,26,United-States,<=50K
83,Federal-gov,421896,Some-college,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,2156,35,28,Cuba,>50K
62,Federal-gov,458692,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,294,30,77,United-States,<=50K
40,Private,268750,Masters,14,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,2322,51,36,United-States,>50K
48,State-gov,302490,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,4890,56,9,United-States,>50K
63,Private,118621,Bachelors,13,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,1875,40,47,Philippines,>50K
39,Private,295556,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,1641,49,78,United-States,<=50K
82,Local-gov,491615,Assoc-acdm,12,Divorced,Prof-specialty,Husband,White,Female,6494,5,51,United-States,>50K
43,Private,128833,Some-college,10,Married-civ-spouse,Sales,Own-child,White,Male,1974,151,76,United-States,>50K
18,State-gov,434020,10th,6,Divorced,Sales,Wife,Black,Male,600,78,57,United-States,<=50K
33,State-gov,75206,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Female,691,23,32,United-States,<=50K
49,Private,20934,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Female,2443,41,67,United-States,>50K
25,Private,302867,Bachelors,13,Never-married,Machine-op-inspct,Husband,Black,Male,2659,2,57,India,>50K
59,Private,400112,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Female,723,2,54,United-States,<=50K
64,Private,423621,Bachelors,13,Never-married,Tech-support,Husband,Black,Male,847,14,16,United-States,<=50K
55,Never-worked,159820,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,9433,58,62,United-States,>50K
58,Private,211838,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Female,215,95,84,United-States,<=50K
42,Private,187485,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,1037,40,96,United-States,>50K
66,Private,425570,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Male,128,37,56,United-States,<=50K
41,Private,477706,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,Black,Female,3441,25,23,United-States,>50K
40,Local-gov,394132,HS-grad,9,Never-married,Handlers-cleaners,Husband,White,Male,193,8,17,United-States,<=50K
29,Private,491891,Bachelors,13,Never-married,Exec-managerial,Husband,White,Female,2241,6,80,United-States,>50K
76,Local-gov,251630,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,116,71,38,United-States,>50K
23,Private,420604,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,2234,131,72,United-States,>50K
73,Never-worked,46523,Some-college,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,3703,30,83,United-States,>50K
52,Private,373294,HS-grad,9,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Female,1017,53,30,United-States,<=50K
61,Private,393094,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Own-child,White,Female,1476,122,58,United-States,>50K
36,Never-worked,460909,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,1026,4,98,United-States,>50K
81,Private,176804,Bachelors,13,Divorced,Tech-support,Husband,Black,Male,714,73,78,United-States,>50K
24,Never-worked,51646,11th,7,Divorced,Handlers-cleaners,Not-in-family,White,Female,3251,47,22,United-States,>50K
32,Self-emp-not-inc,162093,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,634,45,17,United-States,<=50K
30,Private,234310,Masters,14,Married-civ-spouse,Tech-support,Not-in-family,Black,Female,2567,17,15,Canada,>50K
31,Private,252024,Assoc-voc,11,Never-married,Adm-clerical,Unmarried,White,Male,461,57,48,United-States,<=50K
82,Self-emp-not-inc,267476,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,574,79,32,United-States,<=50K
48,Private,324920,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,820,5,77,United-States,>50K
79,Private,291260,11th,7,Separated,Exec-managerial,Husband,Other,Female,1779,38,85,United-States,>50K
67,Private,475225,Bachelors,13,Widowed,Sales,Not-in-family,Asian-Pac-Islander,Female,1211,5,40,Germany,>50K
41,Private,122858,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Own-child,Black,Male,2734,103,97,United-States,>50K
74,Private,229343,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Male,480,35,57,United-States,>50K
79,Federal-gov,86620,Some-college,10,Divorced,Tech-support,Husband,White,Female,21,82,58,United-States,<=50K
78,Never-worked,447987,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,2997,22,91,India,>50K
38,Never-worked,431972,Assoc-acdm,12,Never-married,Other-service,Wife,White,Male,3448,6,16,United-States,>50K
74,Local-gov,92604,Some-college,10,Married-civ-spouse,Tech-support,Not-in-family,White,Male,122,2,28,Cuba,<=50K
74,Private,104452,Some-college,10,Married-civ-spouse,Other-service,Not-in-family,Other,Female,1887,16,98,United-States,>50K
65,Local-gov,406135,10th,6,Divorced,Prof-specialty,Husband,Asian-Pac-Islander,Male,950,14,1,United-States,<=50K
68,Private,295694,HS-grad,9,Divorced,Handlers-cleaners,Wife,White,Female,3158,41,41,United-States,>50K
58,Private,177596,Some-college,10,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,4149,1,48,India,>50K
86,Private,457822,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,3807,36,31,Mexico,>50K
31,Private,209891,Masters,14,Never-married,Other-service,Not-in-family,White,Female,3002,24,36,United-States,>50K
70,Local-gov,80227,11th,7,Never-married,Exec-managerial,Unmarried,Black,Female,626,43,33,United-States,>50K
76,Self-emp-not-inc,295356,HS-grad,9,Never-married,Adm-clerical,Husband,Black,Male,3341,60,33,United-States,>50K
24,Private,312262,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,White,Female,1524,50,82,United-States,<=50K
69,Private,300746,HS-grad,9,Married-civ-spouse,Adm-clerical,Own-child,White,Male,108,208,23,United-States,<=50K
76,Never-worked,27540,11th,7,Never-married,Prof-specialty,Not-in-family,White,Female,1221,7,60,United-States,>50K
21,Private,176901,Masters,14,Married-civ-spouse,Craft-repair,Own-child,White,Female,5700,28,87,United-States,>50K
84,Private,197381,Assoc-voc,11,Never-married,Exec-managerial,Husband,White,Male,4376,27,79,United-States,>50K
22,Private,206475,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,215,26,90,United-States,<=50K
63,Local-gov,343599,10th,6,Never-married,Machine-op-inspct,Wife,White,Male,2726,54,30,United-States,>50K
71,Self-emp-not-inc,32277,Masters,14,Married-civ-spouse,Handlers-cleaners,Husband,Black,Female,3277,33,89,India,>50K
56,Private,129133,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Female,633,36,45,United-States,<=50K
68,Private,462889,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Female,1275,28,80,United-States,>50K
32,Self-emp-not-inc,262196,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,2482,239,39,United-States,>50K
29,Self-emp-not-inc,420892,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,White,Male,1156,131,45,United-States,>50K
46,Private,446060,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,239,18,78,United-States,>50K
35,Never-worked,467924,Masters,14,Divorced,Machine-op-inspct,Husband,White,Male,2447,5,81,United-States,>50K
33,Private,281896,Some-college,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,4852,91,12,United-States,>50K
79,Private,222620,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,2113,293,93,Philippines,>50K
35,Never-worked,477927,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,2972,17,32,United-States,>50K
74,Private,443886,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Female,887,22,56,United-States,<=50K
71,Private,208675,Some-college,10,Never-married,Other-service,Not-in-family,Black,Male,404,142,24,Canada,<=50K
78,Private,172550,Some-college,10,Married-civ-spouse,Tech-support,Not-in-family,White,Female,2058,62,13,United-States,>50K
39,Private,429655,Bachelors,13,Married-civ-spouse,Farming-fishing,Own-child,White,Male,794,17,20,United-States,<=50K
25,Never-worked,437963,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Male,3933,43,79,Canada,>50K
28,Private,257496,HS-grad,9,Married-civ-spouse,Tech-support,Unmarried,White,Male,261,144,56,United-States,<=50K
17,Without-pay,397476,Masters,14,Divorced,Tech-support,Husband,Amer-Indian-Eskimo,Male,1136,83,53,United-States,<=50K
74,Private,433026,HS-grad,9,Never-married,Craft-repair,Husband,White,Male,1010,67,68,Cuba,>50K
17,Private,290446,11th,7,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Female,5562,66,54,United-States,>50K
50,Private,338380,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,332,9,34,Mexico,<=50K
64,Self-emp-not-inc,74467,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,19,87,28,United-States,<=50K
17,Private,374494,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,543,16,50,United-States,<=50K
32,State-gov,438057,Doctorate,16,Married-civ-spouse,Tech-support,Not-in-family,White,Male,3432,133,2,United-States,>50K
77,Private,447929,HS-grad,9,Widowed,Other-service,Wife,Other,Female,469,22,94,Cuba,<=50K
80,Never-worked,452762,HS-grad,9,Never-married,Other-service,Wife,Black,Female,551,97,26,United-States,>50K
79,Private,265908,HS-grad,9,Divorced,Exec-managerial,Husband,White,Male,278,15,51,United-States,<=50K
85,State-gov,275192,Assoc-voc,11,Married-civ-spouse,Sales,Wife,Black,Male,2513,36,47,United-States,>50K
38,Local-gov,259212,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Female,143,5,26,United-States,<=50K
83,Local-gov,436506,Bachelors,13,Divorced,Adm-clerical,Husband,White,Male,804,53,84,United-States,<=50K
42,State-gov,68906,10th,6,Never-married,Handlers-cleaners,Husband,White,Female,663,90,92,Mexico,<=50K
32,Local-gov,348781,Assoc-acdm,12,Never-married,Sales,Own-child,White,Male,1620,63,84,United-States,>50K
67,Private,301922,Some-college,10,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Female,2621,37,75,United-States,>50K
73,Private,168497,HS-grad,9,Divorced,Prof-specialty,Husband,White,Female,1522,2,74,United-States,>50K
45,Private,248117,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Female,5348,135,61,United-States,>50K
85,Without-pay,224460,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,6050,61,23,United-States,>50K
63,Private,130918,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,897,68,37,United-States,<=50K
78,Local-gov,362180,HS-grad,9,Divorced,Prof-specialty,Husband,White,Male,3007,79,41,United-States,>50K
85,Private,461392,11th,7,Married-civ-spouse,Sales,Not-in-family,White,Male,2684,68,52,United-States,>50K
32,Private,415890,Bachelors,13,Never-married,Exec-managerial,Wife,White,Male,4469,29,83,United-States,>50K
64,Private,465618,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,1188,66,82,United-States,>50K
55,Self-emp-not-inc,491947,Assoc-acdm,12,Married-civ-spouse,Other-service,Not-in-family,White,Female,1512,49,49,United-States,>50K
49,Private,230979,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1074,96,27,India,<=50K
39,Private,436269,Some-college,10,Never-married,Sales,Other-relative,White,Male,3799,81,6,United-States,>50K
26,Private,258505,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,521,2,74,United-States,<=50K
85,Private,21957,Some-college,10,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,548,23,66,United-States,<=50K
50,Private,344788,Some-college,10,Never-married,Farming-fishing,Husband,White,Male,932,1,24,United-States,>50K
68,Private,456832,Masters,14,Married-civ-spouse,Other-service,Husband,White,Female,523,5,38,United-States,>50K
26,Local-gov,385438,Bachelors,13,Divorced,Farming-fishing,Husband,White,Male,1646,45,28,United-States,<=50K
35,Private,27829,Doctorate,16,Married-civ-spouse,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,288,103,28,United-States,<=50K
74,Private,277981,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,771,6,66,United-States,<=50K
17,Private,467357,Bachelors,13,Never-married,Sales,Unmarried,White,Male,4893,29,61,United-States,>50K
85,Private,156104,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,1052,120,46,United-States,>50K
20,Private,109770,Bachelors,13,Divorced,Other-service,Wife,Black,Female,2758,84,69,United-States,>50K
32,Private,36352,Masters,14,Divorced,Handlers-cleaners,Husband,White,Male,240,36,75,United-States,<=50K
40,Private,40215,HS-grad,9,Never-married,Other-service,Husband,White,Female,568,73,74,United-States,<=50K
18,Private,459535,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,Black,Male,3293,36,43,Canada,>50K
48,Self-emp-not-inc,215714,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Female,2879,8,59,Puerto-Rico,>50K
40,State-gov,313391,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Female,976,6,2,United-States,<=50K
28,Local-gov,497518,Some-college,10,Never-married,Prof-specialty,Husband,White,Male,6175,10,15,United-States,>50K
66,Private,139692,Bachelors,13,Divorced,Craft-repair,Husband,White,Male,4830,21,37,United-States,>50K
51,Private,184120,11th,7,Never-married,Other-service,Unmarried,White,Male,6556,133,71,United-States,>50K
49,Private,260186,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,1116,80,20,United-States,<=50K
49,Private,216604,Masters,14,Never-married,Sales,Husband,White,Female,439,28,98,Canada,<=50K
77,Never-worked,76714,Some-college,10,Divorced,Prof-specialty,Other-relative,White,Female,1970,33,35,United-States,>50K
67,Private,307463,Bachelors,13,Married-civ-spouse,Tech-support,Not-in-family,White,Female,2308,15,34,Cuba,>50K
59,Private,129058,HS-grad,9,Never-married,Farming-fishing,Husband,White,Male,268,60,86,United-States,<=50K
28,Private,288169,HS-grad,9,Divorced,Tech-support,Husband,White,Male,3088,81,31,United-States,>50K
83,Self-emp-not-inc,19780,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Female,36,13,87,United-States,<=50K
81,Private,294850,Some-college,10,Never-married,Machine-op-inspct,Husband,White,Male,1318,2,19,Mexico,>50K
49,Private,183988,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,803,48,68,United-States,<=50K
56,Private,85503,HS-grad,9,Divorced,Sales,Husband,White,Male,2696,41,24,United-States,>50K
59,Private,171928,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,750,25,84,India,>50K
60,Private,375310,10th,6,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,3506,51,39,United-States,>50K
45,Private,19179,Some-college,10,Never-married,Handlers-cleaners,Husband,White,Female,1807,39,92,United-States,>50K
29,Private,179695,Some-college,10,Separated,Handlers-cleaners,Own-child,White,Male,3158,14,54,United-States,>50K
28,Private,158659,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,9082,25,39,United-States,>50K
62,Private,164805,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,2273,27,17,United-States,>50K
18,Private,267282,HS-grad,9,Never-married,Farming-fishing,Wife,White,Female,8392,106,19,United-States,>50K
51,Private,491522,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,Black,Female,58,162,48,United-States,<=50K
24,Self-emp-not-inc,109423,Some-college,10,Divorced,Other-service,Husband,Black,Male,825,111,35,United-States,<=50K
42,Local-gov,133076,HS-grad,9,Widowed,Exec-managerial,Own-child,White,Female,228,63,32,United-States,<=50K
50,Private,145047,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Male,608,43,47,United-States,<=50K
23,Private,264477,HS-grad,9,Never-married,Exec-managerial,Husband,White,Male,3651,58,47,Philippines,>50K
84,Private,219527,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,65,139,64,Mexico,<=50K
74,Private,347282,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,1468,14,46,United-States,>50K
45,Self-emp-not-inc,186535,Some-college,10,Never-married,Adm-clerical,Wife,White,Female,1674,38,35,United-States,<=50K
52,Private,183226,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,1647,58,94,United-States,>50K
37,Never-worked,216748,Bachelors,13,Married-AF-spouse,Prof-specialty,Unmarried,White,Female,1289,56,17,United-States,<=50K
52,Private,96706,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,3127,14,42,United-States,>50K
26,Private,126905,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,286,44,29,United-States,<=50K
89,Self-emp-not-inc,38830,11th,7,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,743,79,70,United-States,<=50K
40,Federal-gov,382220,Some-college,10,Married-civ-spouse,Sales,Not-in-family,White,Male,1912,32,17,United-States,>50K
80,Self-emp-not-inc,475342,HS-grad,9,Married-civ-spouse,Tech-support,Wife,White,Female,2348,78,81,United-States,>50K
65,Local-gov,449961,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,Black,Female,1035,22,14,United-States,<=50K
52,Private,302753,HS-grad,9,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,4164,139,24,United-States,>50K
40,State-gov,27401,Some-college,10,Divorced,Prof-specialty,Husband,White,Female,1073,38,57,United-States,>50K
39,Private,430945,Some-college,10,Never-married,Adm-clerical,Wife,Other,Male,1030,45,50,United-States,<=50K
78,Without-pay,375624,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,White,Female,73,1,57,Canada,<=50K
53,Private,128278,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,1602,9,61,United-States,<=50K
28,State-gov,186239,Masters,14,Married-civ-spouse,Craft-repair,Own-child,Black,Female,2466,50,39,United-States,>50K
71,Private,235253,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Female,243,27,55,United-States,<=50K
29,Private,329535,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Female,728,35,96,United-States,<=50K
39,Private,136543,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,3039,3,36,United-States,>50K
46,Local-gov,401030,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Other,Male,911,89,37,United-States,<=50K
33,Private,104583,Some-college,10,Never-married,Other-service,Husband,White,Male,553,76,14,United-States,<=50K
78,Private,199243,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,2230,10,27,United-States,>50K
29,Private,491312,11th,7,Divorced,Sales,Husband,White,Male,438,50,83,United-States,<=50K
75,Private,147719,Masters,14,Married-civ-spouse,Other-service,Husband,White,Male,4520,85,31,United-States,>50K
35,Federal-gov,424322,Bachelors,13,Never-married,Tech-support,Husband,White,Female,223,51,73,United-States,<=50K
65,Private,278159,Some-college,10,Divorced,Other-service,Husband,White,Female,2452,18,81,Canada,>50K
28,Never-worked,293650,Assoc-voc,11,Never-married,Sales,Husband,White,Female,1384,53,83,United-States,>50K
77,Private,255221,11th,7,Never-married,Machine-op-inspct,Own-child,White,Male,4079,11,44,United-States,>50K
35,Private,34067,Assoc-voc,11,Never-married,Adm-clerical,Husband,Other,Female,269,19,68,United-States,<=50K
25,Local-gov,402963,HS-grad,9,Divorced,Other-service,Own-child,White,Male,2265,13,48,United-States,>50K
87,Self-emp-not-inc,12056,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,1697,40,57,United-States,>50K
44,Private,264770,HS-grad,9,Never-married,Farming-fishing,Unmarried,Asian-Pac-Islander,Male,1308,5,75,United-States,<=50K
68,Private,39328,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Female,1352,135,22,United-States,>50K
32,Self-emp-not-inc,349856,HS-grad,9,Never-married,Prof-specialty,Husband,White,Male,2560,20,4,United-States,>50K
85,Private,62832,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,5552,12,81,India,>50K
28,Never-worked,52771,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Female,191,34,72,United-States,<=50K
41,Never-worked,107421,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,39,16,46,United-States,<=50K
68,Self-emp-not-inc,490021,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,3276,38,59,United-States,>50K
69,Private,187587,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,228,21,34,United-States,<=50K
39,Self-emp-not-inc,74538,Some-college,10,Never-married,Farming-fishing,Husband,White,Male,8639,7,11,United-States,>50K
32,Private,471866,HS-grad,9,Divorced,Handlers-cleaners,Other-relative,White,Female,1931,15,31,Puerto-Rico,>50K
73,Private,482194,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,2104,28,11,United-States,>50K
55,Private,312295,Masters,14,Never-married,Tech-support,Not-in-family,White,Male,443,1,56,United-States,<=50K
69,Private,142701,HS-grad,9,Divorced,Craft-repair,Husband,White,Female,549,73,38,Puerto-Rico,<=50K
58,State-gov,355607,HS-grad,9,Never-married,Tech-support,Wife,White,Male,2153,48,21,United-States,>50K
74,Self-emp-not-inc,106853,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,4809,45,94,United-States,>50K
55,Local-gov,99432,11th,7,Divorced,Farming-fishing,Husband,White,Female,8078,39,10,United-States,>50K
30,Private,300299,Bachelors,13,Never-married,Farming-fishing,Wife,Asian-Pac-Islander,Female,441,44,26,United-States,<=50K
